Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
17:26.3,-2.746149304,9.380482104,2.027888806,-16.19847328,-12.75572519,-96.45801527,23.29
17:26.4,-1.869871497,9.107543115,1.410184778,-43.20610687,17.47328244,-90.80152672,23.27
17:26.5,-1.113303772,10.04607017,0.936132849,-54.41984733,40.26717557,-39.29770992,23.27
17:26.6,-1.97521637,8.846575134,2.346317627,-44.67175573,80.47328244,84.63358779,23.29
17:26.7,-1.781286035,9.629479077,2.418143677,-51.19083969,63.08396947,94,23.31
17:26.9,-2.341529224,8.288726147,0.107739075,-54.74045802,152.4961832,117.8396947,23.29
17:27.0,-4.876988782,9.449913953,-0.500388147,-11.08396947,127.8625954,103.9083969,23.29
17:27.1,-5.597643481,8.324639172,1.853112085,11.80152672,64.59541985,13.33587786,23.29
17:27.2,-4.563348364,11.50174478,2.463633508,-14.20610687,51.09923664,-58.83206107,23.31
17:27.3,-1.565807886,9.665392102,3.390189551,-48.77099237,31.92366412,-97.93129771,23.31
17:27.5,-0.907402429,9.617508069,2.059013428,-76.05343511,87.42748092,-75.28244275,23.31
17:27.6,-1.007958899,9.885658655,1.613691919,-94,70.03053435,53.05343511,23.31
17:27.7,-1.94648595,8.379705811,0.344765039,-88.14503817,122.3740458,108.9847328,23.29
17:27.8,-2.092532251,9.02853446,-1.403002173,-98.20610687,153.1221374,135.6564885,23.29
17:28.0,-5.39413634,8.650250598,0.51954176,-9.160305344,108.4885496,114.1068702,23.31
17:28.1,-6.141127258,12.57674132,1.620874524,24.19847328,70.5648855,19.51908397,23.31
17:28.3,-5.477933398,9.318232861,2.375048047,21.32824427,-86.42748092,-64.94656489,23.31
17:28.4,-1.91775553,10.26633672,1.826775867,-7.129770992,-21.66412214,-103.3740458,23.33
17:28.5,-1.314416711,8.130708838,0.842758984,-14.35877863,-22.39694656,-97.19847328,23.33
17:28.7,-1.438915198,9.356540088,1.956062756,12.18320611,5.366412214,79.57251908,23.33
17:28.8,-3.531447449,7.807491614,2.760514514,-8.526717557,-2.106870229,49.67175573,23.27
17:28.9,-1.719036792,8.631096985,1.379060156,-28.27480916,97.50381679,23.29770992,23.33
17:29.1,-3.751714001,6.586448767,0.852335791,-10.11450382,66.13740458,46.24427481,23.29
17:29.2,-6.354211206,8.985438831,2.236184351,3.770992366,22.32061069,32.50381679,23.31
17:29.3,-5.896918689,10.91755957,2.037465613,20.22137405,-10.9389313,11.8778626,23.33
17:29.5,-4.192247107,10.83855092,0.392649072,13.55725191,-163.3740458,-16.05343511,23.35
17:29.6,-3.670311145,9.076418494,0.957680664,-18.09160305,-88.67175573,-35.46564885,23.33
17:29.7,-1.582567297,10.49378588,-1.134851587,-25.89312977,-27.69465649,-39.77862595,23.31
17:29.8,-2.667140649,9.270348828,0.251391174,41.73282443,-40.0610687,-2.236641221,23.31
17:30.0,-1.031900916,9.847351428,1.8746599,26.15267176,-109.3053435,-78.38931298,23.33
17:30.1,-1.616086121,7.105990527,3.306392493,20.83969466,19.45038168,-17.66412214,23.31
17:30.2,-1.36948335,6.861781958,2.025494604,18.34351145,-4.519083969,42.79389313,23.35
17:30.4,-3.572148877,14.41309399,1.965639563,31.11450382,48.89312977,116.2824427,23.33
17:30.5,-5.803544824,10.16099185,2.60967981,2.34351145,-100.519084,0.877862595,23.35
17:30.6,-2.983175269,8.779537488,1.572990491,-21.61832061,-28.90839695,-76.02290076,23.33
17:30.8,-1.462857214,8.180987073,0.328005627,-33.64122137,-12.64885496,-69.55725191,23.33
17:30.9,-1.843535278,11.00375083,0.746990918,-13.05343511,17.25954198,6.770992366,23.33
17:31.0,-1.78846864,9.433154541,2.777273926,7.152671756,3.381679389,-11.93129771,23.35
